Repo,Issue,Details
"truvolv/eden-2-org-53973454339303","skipped","No apps/ directory found"
"truvolv/eden-org-2-3ba5bca4d176a8","skipped","No apps/ directory found"
"truvolv/qa-test-org","skipped","No apps/ directory found"
"truvolv/eden-test-org-ac685233adc83b","skipped","No apps/ directory found"
"truvolv/quality-score-data","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/windows-and-doors-carolinas-ec0e1e06f09de5","skipped","No apps/ directory found"
"truvolv/dec-16-test-org-fdf6e1caa8100c","skipped","No apps/ directory found"
"truvolv/carrie-test","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/truvolv","no-changes","Repository processed but no changes were needed"
"truvolv/clear-choice-hi","no-changes","Repository processed but no changes were needed"
"truvolv/innovative-gutter-solutions","no-changes","Repository processed but no changes were needed"
"truvolv/secure-cc","no-changes","Repository processed but no changes were needed"
"truvolv/ai-chatbot-template","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/v2-test-org-2-d08648caadccef","skipped","No apps/ directory found"
"truvolv/psnj-7857601d0eaae1","skipped","No apps/ directory found"
"truvolv/v2-test-org-b743ba6741b17b","skipped","No apps/ directory found"
"truvolv/julia-b7a839fa971990","skipped","No apps/ directory found"
"truvolv/fewa-pure-6ed136f9e848a8","skipped","No apps/ directory found"
"truvolv/kilas-org-2-6004eb3858b080","skipped","No apps/ directory found"
"truvolv/kilas-org-906b102867efec","skipped","No apps/ directory found"
"truvolv/carrie-test-org-2-f5c23993926852","skipped","No apps/ directory found"
"truvolv/carrie-test-org-709ed19a43da4b","skipped","No apps/ directory found"
"truvolv/new-org-58379ecb43bc60","skipped","No apps/ directory found"
"truvolv/truvolv-marketing-cf-workers","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/k-h-paining-pros","skipped","No apps/ directory found"
"truvolv/your-home-select-043d850891b8dd","skipped","No apps/ directory found"
"truvolv/pahlisch-select-2b3bf0d45e7a2f","push-failed","Could not push changes"
"truvolv/proway-garage-doors","skipped","No apps/ directory found"
"truvolv/payload-tenancy","skipped","Not a turbo repository (no turbo.json found)"
"truvolv/global","skipped","No apps/ directory found"
